MATCH_ID,GAME_DURATION,GAME_DATE,WINNING_TEAM,AVERAGE_RANK,BLUE_KILLS,RED_KILLS,BLUE_TOWERS,RED_TOWERS,BLUE_DRAGONS,RED_DRAGONS,BLUE_VOID_GRUBS,RED_VOID_GRUBS,BLUE_HERALDS,RED_HERALDS,BLUE_BARONS,RED_BARONS,WINNING_GOLD_DIFF,UNLOGGED_DURATION
EUW1_7706495978,1552,2026-01-29 00:28:42.000,Blue,Diamond,37,22,2,7,1,3,2,1,1,0,1,0,9036,52
EUW1_7706497107,1553,2026-01-29 00:32:08.000,Red,Master,18,31,8,2,1,3,0,3,0,1,0,1,6505,53
EUW1_7706497267,737,2026-01-29 00:34:21.000,Blue,Diamond,8,7,0,0,1,0,3,0,0,0,0,0,2716,137
EUW1_7706497650,1435,2026-01-29 00:28:18.000,Blue,Grandmaster,28,10,0,7,3,0,3,0,1,0,0,0,14487,235
EUW1_7706498215,2082,2026-01-29 00:34:28.000,Red,Emerald,31,43,11,6,3,2,3,0,0,1,0,2,1923,0
EUW1_7706498680,1592,2026-01-29 00:29:24.000,Red,Diamond,23,29,5,3,0,3,0,3,0,1,0,0,3668,92
EUW1_7706499321,1967,2026-01-29 00:37:16.000,Red,Master,27,19,5,4,1,4,0,3,0,1,1,0,-6967,167
EUW1_7706499788,2085,2026-01-29 00:31:49.000,Blue,Master,44,39,7,7,1,3,2,1,0,0,1,0,-794,0
EUW1_7706501757,1932,2026-01-29 00:32:21.000,Blue,Diamond,47,28,3,10,4,0,0,3,1,0,1,0,8628,132
EUW1_7706502892,2055,2026-01-29 00:35:48.000,Red,Master,24,29,11,3,0,4,1,2,0,1,0,2,14325,0
EUW1_7706504342,2655,2026-01-29 00:42:20.000,Blue,Master,41,41,5,5,3,3,3,0,1,0,2,1,1617,0
EUW1_7706510411,369,2026-01-29 00:53:15.000,Red,Master,4,3,0,0,0,0,0,0,0,0,0,0,-270,69
EUW1_7706513215,1786,2026-01-29 00:53:48.000,Red,Master,19,30,11,3,1,3,0,3,0,1,0,1,7378,0
EUW1_7706514351,1488,2026-01-29 00:56:20.000,Red,Diamond,16,31,10,1,1,2,0,3,0,1,0,1,10279,0
EUW1_7706514950,1497,2026-01-29 00:55:16.000,Blue,Master,33,20,3,11,3,1,0,3,0,1,1,0,11516,0
EUW1_7706515274,932,2026-01-29 00:59:34.000,Red,Master,9,22,2,0,0,2,0,3,0,0,0,0,7937,32
EUW1_7706515536,1624,2026-01-29 00:48:47.000,Red,Master,25,27,5,3,1,3,2,1,0,1,0,1,3774,124
EUW1_7706515920,2703,2026-01-29 00:54:31.000,Blue,Emerald,51,44,11,9,0,5,0,3,0,1,2,2,4214,3
EUW1_7706516252,1833,2026-01-29 00:59:53.000,Red,Master,36,44,9,4,1,3,0,3,1,0,0,2,3297,33
EUW1_7706517448,1597,2026-01-29 01:04:35.000,Red,Master,26,30,5,2,0,3,0,3,1,0,0,0,6687,97
EUW1_7706519284,1534,2026-01-29 01:04:27.000,Blue,Diamond,23,23,3,10,2,1,0,3,0,0,0,0,3271,34
EUW1_7706519695,1195,2026-01-29 00:56:48.000,Red,Master,11,24,9,0,0,2,0,3,0,1,0,0,14065,0
EUW1_7706520195,1546,2026-01-29 01:05:41.000,Red,Master,16,40,6,3,2,2,0,3,0,1,0,0,6737,46
EUW1_7706521344,1490,2026-01-29 01:07:57.000,Red,Master,20,36,10,2,1,3,0,3,0,1,0,1,10923,0
EUW1_7706521560,1771,2026-01-29 00:56:11.000,Blue,Master,42,25,3,11,4,0,3,0,0,0,2,0,14485,0
EUW1_7706521887,1544,2026-01-29 01:01:04.000,Blue,Master,32,14,1,4,3,1,2,1,1,0,0,0,10781,44
EUW1_7706523269,2490,2026-01-29 01:09:47.000,Blue,Master,31,22,6,10,2,4,3,0,1,0,2,0,2160,90
EUW1_7706523418,1933,2026-01-29 01:12:21.000,Blue,Master,48,27,4,6,3,1,3,0,1,0,1,0,9132,133
EUW1_7706525222,1719,2026-01-29 01:15:02.000,Red,Diamond,25,36,11,0,2,1,0,3,0,1,0,1,14829,219
EUW1_7706525952,1659,2026-01-29 01:11:56.000,Blue,Master,19,18,3,6,2,2,3,0,1,0,0,0,6112,159
EUW1_7706528910,998,2026-01-29 01:14:38.000,Blue,Diamond,12,6,0,0,2,0,3,0,0,0,0,0,3094,98
EUW1_7706531128,1693,2026-01-29 01:20:35.000,Red,Master,15,37,7,2,2,2,0,3,0,1,0,1,6158,193
EUW1_7706533309,1777,2026-01-29 01:27:53.000,Blue,Diamond,36,28,5,10,1,3,3,0,0,0,1,1,8672,0
EUW1_7706533491,1552,2026-01-29 01:15:19.000,Red,Master,6,25,6,4,0,4,3,0,0,0,0,1,7626,52
EUW1_7706534295,1768,2026-01-29 01:28:56.000,Blue,Grandmaster,47,28,3,10,3,0,0,3,0,0,1,0,13371,0
EUW1_7706536995,1892,2026-01-29 01:30:31.000,Blue,Diamond,41,35,4,3,1,4,3,0,1,0,1,1,3547,92
EUW1_7706537996,1429,2026-01-29 01:31:32.000,Blue,Master,27,16,1,4,2,1,3,0,1,0,0,0,3715,229
EUW1_7706539072,1864,2026-01-29 01:36:30.000,Blue,Master,31,23,2,6,4,0,0,3,0,1,1,1,5106,64
EUW1_7706539146,1618,2026-01-29 01:38:05.000,Blue,Diamond,36,33,4,4,2,2,0,3,1,0,0,0,-319,118
EUW1_7706539517,1879,2026-01-29 01:26:46.000,Blue,Master,32,29,3,6,2,2,0,3,1,0,2,0,5731,79
EUW1_7706543053,1735,2026-01-29 01:43:09.000,Blue,Diamond,29,27,2,6,1,1,1,2,1,0,1,0,5190,235
EUW1_7706545106,1830,2026-01-29 01:50:11.000,Blue,Master,29,17,2,8,3,1,3,0,1,0,1,0,14251,30
EUW1_7706545842,2201,2026-01-29 01:45:37.000,Red,Master,33,41,12,3,2,3,3,0,0,1,1,2,3607,101
EUW1_7706545984,2092,2026-01-29 01:49:02.000,Red,Master,47,40,10,6,3,2,1,2,1,0,1,1,4776,0
EUW1_7706546332,1531,2026-01-29 01:56:48.000,Red,Master,18,34,7,2,2,1,2,1,0,1,0,1,10458,31
EUW1_7706551017,1892,2026-01-29 01:59:38.000,Red,Master,31,40,6,2,2,3,0,3,0,1,0,1,6218,92
EUW1_7706551593,1632,2026-01-29 01:51:36.000,Blue,Master,40,20,2,6,4,0,0,3,1,0,0,0,4406,132
EUW1_7706553044,1652,2026-01-29 02:06:11.000,Red,Master,20,29,6,2,2,2,3,0,0,1,0,0,3950,152
EUW1_7706555268,2117,2026-01-29 02:19:16.000,Blue,Master,35,31,6,7,1,4,3,0,1,0,1,1,2592,17
EUW1_7706556969,1674,2026-01-29 02:14:54.000,Red,Diamond,15,32,6,3,1,1,3,0,0,1,0,0,6785,174
EUW1_7706558507,1592,2026-01-29 02:04:43.000,Blue,Diamond,32,13,3,6,3,1,3,0,1,0,1,0,9067,92
EUW1_7706559025,1223,2026-01-29 02:19:24.000,Blue,Master,27,8,2,5,3,0,3,0,1,0,0,0,10979,23
EUW1_7706561389,1994,2026-01-29 02:37:56.000,Red,Master,35,45,4,5,2,2,1,2,0,1,2,0,276,194
EUW1_7706561402,1912,2026-01-29 02:38:07.000,Red,Master,34,32,4,7,2,1,3,0,1,0,0,1,3234,112
EUW1_7706562136,1693,2026-01-29 02:31:44.000,Red,Diamond,25,34,7,2,2,2,3,0,0,1,0,0,8878,193
EUW1_7706562299,1567,2026-01-29 02:37:40.000,Blue,Master,26,12,1,8,1,3,3,0,1,0,1,0,12434,67
EUW1_7706564760,1363,2026-01-29 02:29:11.000,Red,Master,11,26,7,0,0,3,0,3,0,1,0,0,11458,163
EUW1_7706565444,1833,2026-01-29 02:51:29.000,Blue,Master,44,24,2,8,4,0,0,3,1,0,1,1,10410,33
EUW1_7706565964,1500,2026-01-29 02:43:33.000,Blue,Grandmaster,34,20,4,11,2,1,3,0,1,0,1,0,8430,0
EUW1_7706567596,1719,2026-01-29 02:34:13.000,Red,Master,15,34,7,1,0,3,1,2,0,1,0,1,11408,219
EUW1_7706568260,2133,2026-01-29 02:56:07.000,Red,Master,31,48,7,6,1,4,0,3,0,1,0,2,7055,33
EUW1_7706568584,1585,2026-01-29 02:34:52.000,Red,Master,12,24,8,0,0,4,3,0,0,1,0,1,15560,85
EUW1_7706569009,1922,2026-01-29 02:49:22.000,Blue,Master,51,33,2,6,3,2,3,0,1,0,1,0,7180,122
EUW1_7706569364,1636,2026-01-29 03:02:04.000,Blue,Master,32,22,1,7,4,0,3,0,1,0,0,0,10111,136
EUW1_7706573151,1572,2026-01-29 03:15:54.000,Red,Master,25,39,9,3,0,3,0,3,1,0,0,1,8441,72
EUW1_7706573636,2299,2026-01-29 02:58:25.000,Red,Master,36,43,5,8,3,2,3,0,0,0,2,0,-4116,199
EUW1_7706573647,1331,2026-01-29 02:58:00.000,Red,Master,13,28,2,2,0,3,3,0,1,0,0,0,5323,131
EUW1_7706574009,1386,2026-01-29 03:13:35.000,Blue,Master,36,16,2,7,1,0,3,0,1,0,0,0,11045,186
EUW1_7706574474,1813,2026-01-29 02:52:36.000,Red,Master,28,47,10,2,1,4,3,0,1,0,0,1,10960,13
EUW1_7706575787,1884,2026-01-29 03:14:42.000,Blue,Master,39,31,6,4,1,4,3,0,1,0,2,0,-1760,84
EUW1_7706577519,1764,2026-01-29 03:06:20.000,Red,Diamond,30,39,8,6,1,2,3,0,0,0,0,1,6213,0
EUW1_7706578793,1231,2026-01-29 03:20:11.000,Red,Diamond,13,16,3,3,0,2,2,1,0,1,0,0,203,31
EUW1_7706579825,1392,2026-01-29 03:32:56.000,Blue,Diamond,23,15,0,6,2,0,1,2,1,0,0,0,5941,192
EUW1_7706580066,1099,2026-01-29 03:45:14.000,Blue,Master,17,12,1,2,2,0,3,0,0,0,0,0,3360,199
EUW1_7706580219,1535,2026-01-29 03:52:57.000,Blue,Master,30,14,1,8,3,0,0,3,1,0,1,0,12533,35
EUW1_7706583700,916,2026-01-29 03:44:37.000,Blue,Master,28,6,0,3,1,1,3,0,0,0,0,0,10929,16
EUW1_7706585856,1872,2026-01-29 04:06:53.000,Blue,Challenger,27,30,4,6,2,2,3,0,1,0,1,1,-4192,72
EUW1_7706586760,1382,2026-01-29 04:03:17.000,Blue,Master,16,18,0,6,2,0,0,3,1,0,0,0,4730,182
EUW1_7706587735,1995,2026-01-29 04:04:49.000,Blue,Master,41,28,2,8,3,1,1,2,1,0,1,0,7300,195
EUW1_7706589234,2242,2026-01-29 04:33:00.000,Blue,Master,29,36,9,5,2,3,3,0,1,0,1,2,1553,142
EUW1_7706589653,1123,2026-01-29 04:16:56.000,Blue,Diamond,23,12,0,2,0,1,3,0,0,0,0,0,7070,223
EUW1_7706590091,1229,2026-01-29 04:43:20.000,Blue,Master,19,10,1,5,2,1,3,0,1,0,0,0,8017,29
EUW1_7706595469,2046,2026-01-29 04:25:41.000,Blue,Master,39,31,7,10,2,3,0,3,0,1,1,1,4879,0
EUW1_7706595824,917,2026-01-29 04:47:30.000,Blue,Challenger,23,7,0,1,0,1,3,0,0,0,0,0,6676,17
EUW1_7706596141,1556,2026-01-29 05:05:58.000,Red,Diamond,14,28,6,0,2,2,2,1,0,1,0,1,10772,56
EUW1_7706596675,1266,2026-01-29 04:39:05.000,Red,Master,24,27,5,0,0,2,3,0,0,1,0,0,8231,66
EUW1_7706599329,1811,2026-01-29 05:40:23.000,Red,Master,38,32,6,5,1,2,0,3,1,0,1,1,119,11
EUW1_7706600969,1819,2026-01-29 05:21:58.000,Blue,Challenger,27,23,5,6,2,2,3,0,1,0,2,0,2742,19
EUW1_7706601835,1405,2026-01-29 05:24:56.000,Red,Master,12,22,4,1,0,2,3,0,0,1,0,0,7624,205
EUW1_7706602525,912,2026-01-29 05:09:53.000,Blue,Master,15,15,0,1,1,0,0,3,0,0,0,0,3218,12
EUW1_7706605094,2302,2026-01-29 05:56:34.000,Blue,Diamond,29,38,6,5,1,4,1,2,0,1,0,2,-2315,202
EUW1_7706605289,1899,2026-01-29 06:09:32.000,Red,Diamond,26,33,3,7,1,3,3,0,0,0,1,0,70,99
EUW1_7706606095,1905,2026-01-29 06:08:50.000,Blue,Master,36,24,3,9,3,2,3,0,1,0,2,0,7657,105
EUW1_7706606260,1768,2026-01-29 06:18:52.000,Blue,Master,35,26,2,11,2,2,3,0,0,0,0,0,4032,0
EUW1_7706606770,1722,2026-01-29 05:46:44.000,Blue,Master,25,21,2,6,3,0,0,3,1,0,1,0,6239,222
EUW1_7706609610,1659,2026-01-29 05:58:57.000,Blue,Diamond,28,25,2,5,4,0,2,1,1,0,1,0,5014,159
EUW1_7706609624,2337,2026-01-29 05:59:58.000,Blue,Master,43,25,4,7,2,3,0,3,1,0,1,1,3985,237
EUW1_7706612252,1330,2026-01-29 06:41:23.000,Red,Master,14,26,8,2,0,2,1,2,0,1,0,0,9389,130
EUW1_7706614757,1451,2026-01-29 06:31:53.000,Blue,Master,34,23,4,9,1,2,3,0,1,0,1,0,8687,0
EUW1_7706614958,2065,2026-01-29 06:44:00.000,Red,Master,24,33,10,5,2,3,3,0,0,1,0,2,11415,0
EUW1_7706615117,1736,2026-01-29 06:51:33.000,Blue,Diamond,31,16,2,4,0,3,3,0,1,0,1,0,8785,236
EUW1_7706617906,1491,2026-01-29 06:55:56.000,Red,Diamond,22,37,10,3,0,3,0,3,0,1,0,1,11716,0
EUW1_7706620662,1372,2026-01-29 06:59:16.000,Blue,Platinum,24,17,2,5,1,1,3,0,1,0,0,0,7433,172
EUW1_7706623726,1684,2026-01-29 07:22:41.000,Blue,Challenger,22,19,3,4,2,1,3,0,1,0,1,0,7797,184
EUW1_7706624805,1228,2026-01-29 07:27:32.000,Blue,Diamond,32,6,0,6,3,0,1,2,1,0,0,0,12162,28
EUW1_7706626484,1182,2026-01-29 07:18:30.000,Red,Master,10,37,10,0,0,3,3,0,1,0,0,0,16058,0
EUW1_7706627189,1345,2026-01-29 07:47:19.000,Blue,Master,26,11,1,5,2,1,3,0,1,0,0,0,10592,145
EUW1_7706628095,1427,2026-01-29 07:44:17.000,Red,Master,17,24,3,2,2,0,0,3,0,1,0,0,1023,227
EUW1_7706629453,1694,2026-01-29 08:02:07.000,Blue,Master,32,24,3,5,3,0,3,0,1,0,1,0,7693,194
EUW1_7706630039,2393,2026-01-29 07:46:48.000,Blue,Grandmaster,52,41,9,11,3,3,2,1,0,1,1,2,5661,0
EUW1_7706630928,1809,2026-01-29 07:54:46.000,Red,Master,24,41,10,5,2,2,1,2,1,0,0,1,10386,9
EUW1_7706634720,1807,2026-01-29 08:02:11.000,Blue,Master,27,14,2,10,2,2,2,1,1,0,1,1,8686,7
EUW1_7706635135,1538,2026-01-29 08:14:54.000,Blue,Master,29,16,3,7,1,3,1,2,1,0,1,0,5413,38
EUW1_7706636905,1474,2026-01-29 08:12:30.000,Blue,Challenger,35,23,5,6,1,2,3,0,1,0,1,0,5029,0
EUW1_7706638755,1789,2026-01-29 08:12:04.000,Blue,Master,44,29,4,11,2,2,3,0,0,1,2,0,9502,0
EUW1_7706639496,913,2026-01-29 08:03:41.000,Red,Master,2,13,2,0,0,2,1,2,0,0,0,0,8089,13
EUW1_7706639759,1946,2026-01-29 08:12:47.000,Blue,Diamond,27,31,5,6,4,1,1,2,1,0,1,0,1717,146
EUW1_7706647792,2282,2026-01-29 08:38:08.000,Blue,Master,27,29,10,5,3,3,3,0,1,0,0,2,-343,182
EUW1_7706649276,1867,2026-01-29 08:51:57.000,Blue,Diamond,45,31,7,7,2,2,0,3,0,1,0,1,2937,67
EUW1_7706649958,1342,2026-01-29 08:44:01.000,Blue,Master,22,12,1,3,1,2,3,0,1,0,0,0,8048,142
EUW1_7706650054,1765,2026-01-29 08:46:44.000,Blue,Master,31,24,1,11,1,3,0,3,1,0,0,1,8376,0
EUW1_7706652620,2866,2026-01-29 08:45:20.000,Red,Master,46,42,9,8,4,2,0,3,1,0,0,4,-2008,166
EUW1_7706656428,1503,2026-01-29 09:10:38.000,Blue,Master,22,8,0,11,2,1,3,0,1,0,1,0,16794,3
EUW1_7706658194,1407,2026-01-29 09:09:15.000,Blue,Master,18,19,2,1,2,0,0,3,0,1,0,0,-5,207
EUW1_7706660933,1491,2026-01-29 09:11:13.000,Blue,Master,26,16,4,8,2,1,3,0,1,0,1,0,5917,0
EUW1_7706663202,1724,2026-01-29 09:19:01.000,Red,Master,19,26,5,4,2,2,0,3,0,1,1,0,1637,224
EUW1_7706663840,1805,2026-01-29 09:11:30.000,Blue,Master,38,32,6,9,3,2,1,2,1,0,1,1,11238,5
EUW1_7706663998,1135,2026-01-29 09:15:17.000,Blue,Diamond,18,9,0,0,0,1,0,3,0,0,0,0,4162,235
EUW1_7706664291,2212,2026-01-29 09:20:40.000,Blue,Grandmaster,30,35,6,5,3,3,3,0,1,0,1,1,115,112
EUW1_7706665920,1534,2026-01-29 09:20:04.000,Red,Diamond,18,30,11,1,0,3,1,2,0,1,0,1,13080,34
EUW1_7706666695,2110,2026-01-29 09:16:33.000,Red,Diamond,33,37,7,7,2,3,3,0,1,0,1,2,4839,10
EUW1_7706667440,1903,2026-01-29 09:30:15.000,Blue,Master,21,21,2,8,3,1,0,3,1,0,1,0,4046,103
EUW1_7706668863,1476,2026-01-29 09:22:42.000,Red,Master,11,24,7,2,1,2,0,3,0,1,0,1,10179,0
EUW1_7706670170,1704,2026-01-29 09:28:25.000,Blue,Master,25,17,6,4,2,2,0,3,0,1,1,0,2393,204
EUW1_7706672448,2155,2026-01-29 09:37:19.000,Blue,Master,44,36,8,6,3,3,0,3,0,1,1,0,4148,55
EUW1_7706676547,1717,2026-01-29 09:31:33.000,Blue,Diamond,19,14,1,3,2,1,3,0,0,1,0,0,6078,217
EUW1_7706679365,1485,2026-01-29 09:49:07.000,Blue,Master,46,26,1,8,4,0,3,0,1,0,0,0,18259,0
EUW1_7706682375,2033,2026-01-29 09:52:56.000,Blue,Grandmaster,31,31,6,4,3,2,0,3,1,0,0,2,-968,233
EUW1_7706683944,1903,2026-01-29 09:49:02.000,Red,Grandmaster,25,43,6,3,1,3,0,3,0,1,0,2,7696,103
EUW1_7706684019,1690,2026-01-29 09:50:17.000,Blue,Diamond,22,26,4,4,0,3,3,0,1,0,1,0,2063,190
EUW1_7706684303,1394,2026-01-29 09:54:28.000,Red,Master,8,23,3,1,1,2,1,2,0,1,0,0,7057,194
EUW1_7706685878,1646,2026-01-29 09:54:41.000,Blue,Master,26,18,2,5,2,2,3,0,0,1,0,0,4559,146
EUW1_7706687204,1990,2026-01-29 09:59:45.000,Red,Master,34,27,10,3,1,4,3,0,1,0,1,1,1859,190
EUW1_7706687258,1977,2026-01-29 10:01:24.000,Red,Emerald,24,35,8,5,0,4,0,3,0,1,0,1,2090,177
EUW1_7706687462,928,2026-01-29 09:50:02.000,Red,Diamond,14,23,2,0,0,1,1,2,0,0,0,0,4130,28
EUW1_7706689345,1950,2026-01-29 10:04:35.000,Red,Diamond,33,45,8,4,0,4,1,2,1,0,0,0,8658,150
EUW1_7706691227,962,2026-01-29 10:03:13.000,Blue,Master,19,6,0,2,0,1,3,0,0,0,0,0,9338,62
EUW1_7706693741,1387,2026-01-29 10:01:01.000,Red,Master,3,15,3,0,0,3,0,3,0,1,0,0,9809,187
EUW1_7706694158,1284,2026-01-29 10:08:05.000,Blue,Diamond,17,6,0,6,3,0,3,0,1,0,0,0,8634,84
EUW1_7706694566,1487,2026-01-29 09:59:28.000,Blue,Diamond,35,19,1,11,2,1,3,0,0,1,1,0,14289,0
EUW1_7706695572,999,2026-01-29 09:59:44.000,Blue,Master,17,12,1,0,2,0,0,3,0,0,0,0,-85,99
EUW1_7706696230,1670,2026-01-29 10:09:29.000,Blue,Diamond,23,20,0,6,3,0,3,0,1,0,1,0,9775,170
EUW1_7706696302,2231,2026-01-29 10:10:39.000,Blue,Diamond,16,16,4,5,2,3,3,0,1,0,2,0,5621,131
EUW1_7706699331,1463,2026-01-29 10:17:24.000,Blue,Unranked,24,11,4,6,2,1,3,0,1,0,1,0,7271,0
EUW1_7706699514,2097,2026-01-29 10:08:00.000,Red,Master,37,55,13,3,1,4,0,3,0,1,0,2,12461,0
EUW1_7706700403,1455,2026-01-29 10:19:33.000,Red,Master,11,28,9,3,0,3,3,0,0,1,0,1,12564,0
EUW1_7706700446,2099,2026-01-29 10:21:16.000,Red,Diamond,27,43,7,4,1,4,3,0,1,0,1,1,7808,0
EUW1_7706701683,1765,2026-01-29 10:10:56.000,Blue,Master,25,10,3,7,4,1,3,0,0,1,1,0,8223,0
EUW1_7706701994,2366,2026-01-29 10:15:36.000,Blue,Master,54,45,6,9,3,3,0,3,0,1,1,0,4277,0
EUW1_7706703465,1393,2026-01-29 10:12:13.000,Red,Master,7,15,5,1,0,2,0,3,0,1,0,0,9937,193
EUW1_7706706656,1785,2026-01-29 10:18:12.000,Red,Emerald,35,35,10,4,1,3,3,0,1,0,1,0,8882,0
EUW1_7706707614,1445,2026-01-29 10:20:40.000,Blue,Master,34,9,2,11,2,1,0,3,1,0,1,0,13805,0
EUW1_7706710734,1754,2026-01-29 10:26:23.000,Blue,Master,38,26,3,8,1,3,0,3,1,0,1,0,5643,0
EUW1_7706711620,951,2026-01-29 10:24:08.000,Blue,Master,8,2,0,1,0,0,3,0,0,0,0,0,4944,51
EUW1_7706711774,1772,2026-01-29 10:26:28.000,Blue,Master,37,22,3,9,3,1,1,2,1,0,2,0,8099,0
EUW1_7706713448,2209,2026-01-29 10:37:30.000,Blue,Diamond,41,33,6,7,4,2,0,3,1,0,3,0,8036,109
EUW1_7706715338,1580,2026-01-29 10:39:44.000,Blue,Master,28,15,2,7,4,0,3,0,1,0,0,0,6589,80
EUW1_7706716980,1268,2026-01-29 10:36:07.000,Red,Diamond,23,39,6,0,0,3,1,2,0,0,0,0,9175,68
EUW1_7706718650,1163,2026-01-29 10:35:37.000,Blue,Grandmaster,29,6,0,5,1,1,3,0,1,0,0,0,12349,0
EUW1_7706719221,1470,2026-01-29 10:43:17.000,Red,Master,18,29,10,2,0,4,0,3,0,1,0,1,13163,0
EUW1_7706721862,2128,2026-01-29 10:41:07.000,Red,Master,30,45,8,7,1,4,0,3,1,0,2,1,2351,28
EUW1_7706723797,2087,2026-01-29 10:44:32.000,Red,Challenger,18,31,9,3,2,3,3,0,0,1,0,2,6101,0
EUW1_7706726906,2244,2026-01-29 10:47:57.000,Blue,Master,31,25,3,6,3,1,3,0,1,0,2,0,5023,144
EUW1_7706727537,1608,2026-01-29 10:45:17.000,Blue,Grandmaster,27,20,4,5,4,0,1,2,1,0,1,0,4363,108
EUW1_7706728106,1947,2026-01-29 10:52:57.000,Blue,Master,37,23,3,8,4,1,3,0,1,0,1,0,5902,147
EUW1_7706728441,1367,2026-01-29 10:57:48.000,Red,Challenger,12,19,3,1,0,3,3,0,1,0,0,0,5717,167
EUW1_7706729125,1330,2026-01-29 10:55:28.000,Blue,Master,17,8,2,3,3,0,0,3,0,1,0,0,5990,130
EUW1_7706732030,1950,2026-01-29 10:55:59.000,Blue,Diamond,19,25,6,5,2,3,3,0,1,0,0,1,298,150
EUW1_7706735099,1793,2026-01-29 11:01:35.000,Red,Grandmaster,29,34,9,3,1,4,3,0,0,1,0,2,9387,0
EUW1_7706735106,2788,2026-01-29 11:01:28.000,Blue,Master,43,44,6,9,3,4,3,0,1,0,3,1,-2260,88
EUW1_7706736366,1697,2026-01-29 11:06:49.000,Red,Diamond,15,26,6,2,1,3,3,0,0,1,0,0,8503,197
EUW1_7706737703,1734,2026-01-29 11:00:40.000,Red,Master,24,28,9,2,0,3,0,3,0,1,0,1,7325,234
EUW1_7706737756,2116,2026-01-29 11:02:03.000,Blue,Master,45,42,10,10,3,2,2,1,0,1,1,1,4602,16
EUW1_7706741856,2390,2026-01-29 11:06:51.000,Red,Diamond,44,55,9,5,2,3,1,2,1,0,1,2,6165,0
EUW1_7706742378,1726,2026-01-29 11:14:11.000,Red,Master,17,25,4,3,0,4,0,3,1,0,0,0,1874,226
EUW1_7706742930,1967,2026-01-29 11:08:54.000,Red,Diamond,33,35,7,2,0,4,3,0,0,1,0,2,6437,167
EUW1_7706742995,1473,2026-01-29 11:10:16.000,Red,Master,22,41,8,3,0,3,3,0,0,0,0,1,10288,0
