MATCH_ID,GAME_DURATION,GAME_DATE,GAME_VERSION,WINNING_TEAM,AVERAGE_RANK,BLUE_KILLS,RED_KILLS,BLUE_TOWERS,RED_TOWERS,BLUE_INHIBITORS,RED_INHIBITORS,BLUE_DRAGONS,RED_DRAGONS,BLUE_VOID_GRUBS,RED_VOID_GRUBS,BLUE_HERALDS,RED_HERALDS,BLUE_BARONS,RED_BARONS,WINNING_GOLD_DIFF,UNLOGGED_DURATION
EUW1_7707884875,1926,2026-01-30 00:03:29.000,16.2.741.3171,RED,Master,38,37,6,3,0,0,3,1,3,0,0,1,0,1,4437,126
EUW1_7707885269,1613,2026-01-30 00:07:53.000,16.2.741.3171,BLUE,Challenger,29,11,1,5,0,0,1,3,3,0,1,0,1,0,9038,113
EUW1_7707886480,1539,2026-01-30 00:01:56.000,16.2.741.3171,BLUE,Master,28,10,1,9,0,3,3,1,2,1,1,0,1,0,13592,39
EUW1_7707887058,1744,2026-01-30 00:07:48.000,16.2.741.3171,RED,Master,26,31,10,3,2,0,0,3,2,1,0,1,0,1,9882,0
EUW1_7707887268,1992,2026-01-30 00:09:32.000,16.2.741.3171,RED,Diamond,27,26,5,7,0,1,3,2,3,0,1,0,1,0,2730,192
EUW1_7707887275,1867,2026-01-30 00:09:20.000,16.2.741.3171,RED,Master,25,33,6,3,1,0,1,4,1,2,1,0,0,1,5587,67
EUW1_7707887504,1619,2026-01-30 00:04:08.000,16.2.741.3171,RED,Master,19,31,6,1,1,0,0,3,3,0,0,1,0,0,8884,119
EUW1_7707887867,1626,2026-01-30 00:07:39.000,16.2.741.3171,BLUE,Diamond,39,23,1,7,0,0,2,1,3,0,1,0,0,1,5893,126
EUW1_7707888026,1854,2026-01-30 00:09:23.000,16.2.741.3171,RED,Diamond,28,40,11,5,2,0,0,4,0,3,0,1,0,2,2090,54
EUW1_7707888410,1714,2026-01-30 00:12:53.000,16.2.741.3171,RED,Diamond,25,27,5,1,0,0,1,2,0,3,0,1,0,0,3899,214
EUW1_7707888775,1540,2026-01-30 00:08:06.000,16.2.741.3171,BLUE,Master,34,33,2,8,0,2,2,2,3,0,1,0,1,0,9675,40
EUW1_7707889229,2120,2026-01-30 00:11:59.000,16.2.741.3171,BLUE,Master,41,26,5,9,1,2,3,2,3,0,1,0,1,1,2102,20
EUW1_7707889284,914,2026-01-30 00:12:18.000,16.2.741.3171,BLUE,Master,20,4,0,4,0,0,2,0,3,0,0,0,0,0,9477,14
EUW1_7707889914,1408,2026-01-30 00:08:43.000,16.2.741.3171,BLUE,Grandmaster,20,11,2,2,0,0,1,2,2,1,1,0,0,0,3108,208
EUW1_7707890148,1722,2026-01-30 00:11:13.000,16.2.741.3171,RED,Grandmaster,21,28,6,3,1,0,0,3,1,2,0,1,0,1,2453,222
EUW1_7707890200,2642,2026-01-30 00:10:56.000,16.2.741.3171,RED,Master,37,44,9,9,2,1,2,4,3,0,1,0,1,2,2710,0
EUW1_7707890401,2045,2026-01-30 00:12:56.000,16.2.741.3171,RED,Diamond,43,49,7,4,1,0,1,4,3,0,1,0,0,2,8652,0
EUW1_7707890639,1128,2026-01-30 00:06:50.000,16.2.741.3171,RED,Master,6,23,3,0,0,0,0,1,0,3,0,0,0,0,9975,228
EUW1_7707890843,1650,2026-01-30 00:07:56.000,16.2.741.3171,BLUE,Diamond,36,20,2,7,0,0,3,0,0,3,1,0,1,0,11370,150
EUW1_7707891477,2186,2026-01-30 00:05:18.000,16.2.741.3171,BLUE,Master,31,26,5,8,0,2,3,2,3,0,1,0,1,0,7614,86
EUW1_7707892477,1660,2026-01-30 00:07:37.000,16.2.741.3171,RED,Master,11,21,5,0,0,0,0,4,0,3,0,1,0,0,8084,160
EUW1_7707892986,1692,2026-01-30 00:13:23.000,16.2.741.3171,RED,Diamond,32,34,4,4,0,0,0,3,3,0,1,0,0,1,6592,192
EUW1_7707893164,2135,2026-01-30 00:14:54.000,16.2.741.3171,BLUE,Master,46,36,4,9,0,2,2,2,2,1,1,0,1,0,-1535,35
EUW1_7707893309,1454,2026-01-30 00:16:26.000,16.2.741.3171,RED,Master,14,29,11,1,3,0,0,3,0,3,0,1,0,1,16171,0
EUW1_7707893594,2367,2026-01-30 00:09:44.000,16.2.741.3171,BLUE,Master,44,40,10,9,4,1,1,4,0,3,1,0,2,1,5204,0
EUW1_7707894157,924,2026-01-30 00:14:50.000,16.2.741.3171,BLUE,Grandmaster,29,6,0,5,0,0,1,0,3,0,0,0,0,0,11865,24
EUW1_7707894268,1926,2026-01-30 00:16:20.000,16.2.741.3171,BLUE,Grandmaster,35,21,3,8,0,2,2,2,0,3,1,0,1,0,5924,126
EUW1_7707894282,1744,2026-01-30 00:16:05.000,16.2.741.3171,RED,Emerald,22,32,8,5,1,0,2,2,1,2,1,0,0,1,8780,0
EUW1_7707894301,1985,2026-01-30 00:16:23.000,16.2.741.3171,RED,Master,19,24,7,4,2,0,3,1,1,2,1,0,0,1,6771,185
EUW1_7707894379,1415,2026-01-30 00:17:37.000,16.2.741.3171,RED,Master,19,37,5,3,0,0,0,3,3,0,1,0,0,0,3139,215
EUW1_7707894593,1746,2026-01-30 00:11:00.000,16.2.741.3171,RED,Diamond,36,42,9,3,1,0,2,2,0,3,0,0,0,1,7679,0
EUW1_7707894916,2042,2026-01-30 00:14:34.000,16.2.741.3171,RED,Master,37,49,7,5,2,0,3,2,3,0,1,0,0,1,1336,0
EUW1_7707895318,1609,2026-01-30 00:17:54.000,16.2.741.3171,BLUE,Master,31,21,3,6,0,1,1,2,2,1,1,0,1,0,4885,109
EUW1_7707895374,1567,2026-01-30 00:17:46.000,16.2.741.3171,BLUE,Diamond,27,28,2,7,0,1,2,1,0,3,1,0,1,0,9270,67
EUW1_7707895387,1842,2026-01-30 00:18:32.000,16.2.741.3171,RED,Master,19,24,6,5,0,0,2,2,3,0,0,1,1,0,1409,42
EUW1_7707896497,1973,2026-01-30 00:12:13.000,16.2.741.3171,RED,Master,20,28,9,1,2,0,1,3,3,0,0,1,0,1,7150,173
EUW1_7707896558,2050,2026-01-30 00:12:36.000,16.2.741.3171,BLUE,Master,34,19,4,8,0,1,3,1,1,2,1,0,0,2,8642,0
EUW1_7707896600,1223,2026-01-30 00:12:34.000,16.2.741.3171,BLUE,Master,26,10,1,7,0,0,2,1,3,0,1,0,0,0,9583,23
EUW1_7707896818,1628,2026-01-30 00:14:56.000,16.2.741.3171,RED,Master,13,19,9,1,2,0,0,4,0,3,0,1,0,1,13689,128
EUW1_7707896869,2235,2026-01-30 00:15:55.000,16.2.741.3171,RED,Master,38,45,6,5,0,0,1,4,3,0,0,1,0,2,-52,135
EUW1_7707897192,1971,2026-01-30 00:19:38.000,16.2.741.3171,BLUE,Master,33,31,4,6,0,0,4,0,3,0,1,0,0,2,1077,171
EUW1_7707897307,1967,2026-01-30 00:20:41.000,16.2.741.3171,BLUE,Master,32,37,7,4,0,0,1,3,3,0,0,1,1,1,-2079,167
EUW1_7707897313,1424,2026-01-30 00:20:27.000,16.2.741.3171,RED,Diamond,12,22,3,0,0,0,0,3,3,0,0,1,0,0,7424,224
EUW1_7707897552,2399,2026-01-30 00:14:54.000,16.2.741.3171,RED,Diamond,56,51,10,7,2,1,3,3,3,0,1,0,0,1,6597,0
EUW1_7707897593,1729,2026-01-30 00:14:57.000,16.2.741.3171,RED,Master,14,27,6,1,0,0,2,2,3,0,0,1,0,1,11331,229
EUW1_7707897776,1978,2026-01-30 00:17:07.000,16.2.741.3171,RED,Grandmaster,25,35,4,11,0,2,1,4,0,3,1,0,0,2,-1744,178
EUW1_7707897856,1537,2026-01-30 00:18:02.000,16.2.741.3171,RED,Master,25,37,7,3,1,0,2,1,1,2,1,0,1,0,9298,37
EUW1_7707898215,1570,2026-01-30 00:21:43.000,16.2.741.3171,BLUE,Unranked,30,15,0,7,0,0,3,0,1,2,1,0,1,0,14835,70
EUW1_7707898529,2561,2026-01-30 00:14:51.000,16.2.741.3171,BLUE,Diamond,40,41,6,5,1,0,1,4,0,3,0,1,0,2,-4045,161
EUW1_7707899224,1718,2026-01-30 00:21:34.000,16.2.741.3171,RED,Master,18,38,5,3,0,0,0,4,3,0,1,0,0,1,9600,218
EUW1_7707899621,1419,2026-01-30 00:15:29.000,16.2.741.3171,RED,Emerald,13,26,4,1,0,0,0,2,3,0,1,0,0,0,8601,219
EUW1_7707900406,1578,2026-01-30 00:24:10.000,16.2.741.3171,BLUE,Master,30,21,3,3,0,0,2,2,0,3,1,0,1,0,7938,78
EUW1_7707900708,2436,2026-01-30 00:17:09.000,16.2.741.3171,BLUE,Diamond,40,28,6,8,1,2,3,3,3,0,1,0,1,1,8465,36
EUW1_7707900736,2268,2026-01-30 00:17:02.000,16.2.741.3171,BLUE,Emerald,36,39,4,6,0,0,2,3,3,0,0,1,2,0,5121,168
EUW1_7707901123,1824,2026-01-30 00:20:43.000,16.2.741.3171,BLUE,Diamond,37,26,4,8,0,1,3,1,3,0,0,1,2,0,7455,24
EUW1_7707901298,1160,2026-01-30 00:22:49.000,16.2.741.3171,RED,Master,10,28,3,1,0,0,1,2,0,3,0,1,0,0,10769,0
EUW1_7707901596,1590,2026-01-30 00:17:03.000,16.2.741.3171,RED,Emerald,17,38,6,1,0,0,0,3,3,0,0,1,0,1,12100,90
EUW1_7707902152,2177,2026-01-30 00:22:43.000,16.2.741.3171,RED,Diamond,45,59,11,5,3,0,2,3,3,0,0,1,0,2,2622,77
EUW1_7707902483,1534,2026-01-30 00:18:13.000,16.2.741.3171,RED,Master,20,27,4,6,0,0,1,2,2,1,1,0,0,1,3397,34
EUW1_7707902699,1905,2026-01-30 00:19:48.000,16.2.741.3171,BLUE,Master,22,25,5,5,0,0,3,2,3,0,1,0,1,0,-504,105
EUW1_7707902704,2154,2026-01-30 00:20:10.000,16.2.741.3171,BLUE,Diamond,44,41,6,7,1,1,2,2,0,3,0,1,1,1,5865,54
EUW1_7707903000,1617,2026-01-30 00:23:10.000,16.2.741.3171,RED,Grandmaster,27,32,7,2,0,0,2,2,1,2,1,0,0,1,6183,117
EUW1_7707903092,2313,2026-01-30 00:24:44.000,16.2.741.3171,RED,Master,33,44,7,6,0,0,3,3,3,0,0,1,0,2,3041,213
EUW1_7707903758,1568,2026-01-30 00:21:20.000,16.2.741.3171,BLUE,Emerald,28,21,2,6,0,0,2,2,3,0,1,0,0,1,5548,68
EUW1_7707903851,1438,2026-01-30 00:22:22.000,16.2.741.3171,BLUE,Diamond,25,24,1,5,0,0,1,1,3,0,1,0,0,0,5165,238
EUW1_7707904263,1528,2026-01-30 00:26:35.000,16.2.741.3171,BLUE,Grandmaster,36,24,3,8,0,2,3,0,3,0,0,0,1,0,8032,28
EUW1_7707904487,1100,2026-01-30 00:19:20.000,16.2.741.3171,BLUE,Master,13,10,2,1,0,0,0,2,0,3,0,0,0,0,3283,200
EUW1_7707904854,1862,2026-01-30 00:23:53.000,16.2.741.3171,RED,Master,22,29,7,2,1,0,2,2,0,3,1,0,0,2,8649,62
EUW1_7707905020,1998,2026-01-30 00:25:38.000,16.2.741.3171,BLUE,Emerald,37,22,3,7,0,0,4,1,1,2,0,0,1,0,7571,198
EUW1_7707905068,1560,2026-01-30 00:25:25.000,16.2.741.3171,RED,Challenger,22,40,5,3,0,0,2,1,0,3,0,0,0,1,6442,60
EUW1_7707906299,1826,2026-01-30 00:29:28.000,16.2.741.3171,BLUE,Diamond,41,33,4,9,0,2,2,3,0,3,0,0,1,1,7049,26
EUW1_7707906638,1648,2026-01-30 00:24:17.000,16.2.741.3171,BLUE,Master,27,29,5,3,0,0,2,1,1,2,0,1,0,0,-2216,148
EUW1_7707906773,2145,2026-01-30 00:25:16.000,16.2.741.3171,BLUE,Master,41,33,6,4,0,0,2,3,3,0,0,0,1,0,831,45
EUW1_7707907066,2081,2026-01-30 00:29:07.000,16.2.741.3171,RED,Challenger,34,50,10,3,1,0,0,4,3,0,0,0,0,2,10223,0
EUW1_7707907127,1446,2026-01-30 00:28:35.000,16.2.741.3171,RED,Challenger,23,41,6,5,1,0,0,3,3,0,1,0,0,1,9452,0
EUW1_7707907419,2088,2026-01-30 00:33:03.000,16.2.741.3171,RED,Master,48,36,9,7,1,0,2,2,3,0,0,1,0,0,2314,0
EUW1_7707907626,2311,2026-01-30 00:26:18.000,16.2.741.3171,RED,Master,38,35,6,8,0,2,2,1,0,3,1,0,2,0,2082,211
EUW1_7707908681,1482,2026-01-30 00:26:57.000,16.2.741.3171,RED,Master,11,26,8,1,1,0,0,3,2,1,0,1,0,1,16015,0
EUW1_7707909078,1731,2026-01-30 00:30:21.000,16.2.741.3171,BLUE,Master,26,23,3,7,0,1,2,2,1,2,1,0,1,0,8604,231
EUW1_7707909365,1324,2026-01-30 00:33:12.000,16.2.741.3171,BLUE,Master,22,13,2,5,0,0,1,2,1,2,0,1,0,0,6237,124
EUW1_7707910345,2122,2026-01-30 00:34:18.000,16.2.741.3171,BLUE,Master,42,27,3,8,0,1,3,2,3,0,0,0,2,0,4163,22
EUW1_7707910383,913,2026-01-30 00:34:43.000,16.2.741.3171,RED,Master,6,32,2,0,0,0,0,2,0,3,0,0,0,0,11358,13
EUW1_7707910705,916,2026-01-30 00:27:29.000,16.2.741.3171,RED,Master,5,23,3,0,0,0,0,2,3,0,0,0,0,0,9868,16
EUW1_7707912318,1003,2026-01-30 00:35:43.000,16.2.741.3171,BLUE,Diamond,27,8,0,1,0,0,2,0,3,0,0,0,0,0,6589,103
EUW1_7707912633,1487,2026-01-30 00:30:38.000,16.2.741.3171,BLUE,Master,29,19,3,7,0,0,2,1,2,1,0,1,1,0,9033,0
EUW1_7707912751,1985,2026-01-30 00:32:12.000,16.2.741.3171,RED,Master,36,32,5,3,0,0,1,4,2,1,0,1,2,0,1977,185
EUW1_7707913078,1478,2026-01-30 00:35:28.000,16.2.741.3171,BLUE,Grandmaster,39,23,4,8,0,1,2,1,0,3,1,0,1,0,9277,0
EUW1_7707913292,1572,2026-01-30 00:37:56.000,16.2.741.3171,BLUE,Grandmaster,24,16,1,9,0,1,4,0,3,0,1,0,1,0,7567,72
EUW1_7707913561,1873,2026-01-30 00:29:35.000,16.2.741.3171,RED,Master,27,47,6,5,0,0,0,4,3,0,0,0,0,1,6435,73
EUW1_7707914176,2108,2026-01-30 00:36:23.000,16.2.741.3171,BLUE,Diamond,35,34,7,9,0,1,3,2,0,3,0,1,0,2,6084,8
EUW1_7707914383,934,2026-01-30 00:39:42.000,16.2.741.3171,RED,Diamond,4,19,4,0,0,0,0,2,0,3,0,0,0,0,10965,34
EUW1_7707914418,1664,2026-01-30 00:39:42.000,16.2.741.3171,BLUE,Master,30,15,0,7,0,0,2,1,3,0,1,0,1,0,10144,164
EUW1_7707914555,1867,2026-01-30 00:31:23.000,16.2.741.3171,BLUE,Master,51,38,4,7,0,1,4,1,3,0,1,0,1,1,3375,67
EUW1_7707914680,1571,2026-01-30 00:32:45.000,16.2.741.3171,BLUE,Grandmaster,22,23,2,4,0,0,2,1,3,0,0,0,1,0,1556,71
EUW1_7707915146,1916,2026-01-30 00:37:53.000,16.2.741.3171,RED,Master,42,37,7,1,1,0,0,4,0,3,0,1,0,2,11111,116
EUW1_7707915601,1949,2026-01-30 00:32:36.000,16.2.741.3171,BLUE,Master,30,32,5,6,0,0,1,3,3,0,1,0,0,1,3759,149
EUW1_7707915749,1561,2026-01-30 00:33:57.000,16.2.741.3171,BLUE,Grandmaster,25,13,1,9,0,2,1,2,3,0,1,0,1,0,9202,61
EUW1_7707915784,1752,2026-01-30 00:34:50.000,16.2.741.3171,BLUE,Master,29,22,3,8,0,1,1,3,3,0,1,0,0,1,6125,0
EUW1_7707915937,2044,2026-01-30 00:36:18.000,16.2.741.3171,RED,Master,37,56,9,6,2,1,0,5,3,0,0,0,1,0,11058,0
EUW1_7707915938,1807,2026-01-30 00:36:39.000,16.2.741.3171,RED,Emerald,37,36,9,7,1,0,1,2,1,2,1,0,0,1,7651,7
EUW1_7707915965,1373,2026-01-30 00:36:45.000,16.2.741.3171,BLUE,Emerald,25,14,2,3,0,0,1,2,3,0,1,0,0,0,7946,173
EUW1_7707916207,1631,2026-01-30 00:39:53.000,16.2.741.3171,RED,Master,19,25,3,7,0,0,1,2,3,0,1,0,0,1,1145,131
EUW1_7707916512,2415,2026-01-30 00:33:37.000,16.2.741.3171,BLUE,Master,37,39,9,7,2,0,3,3,3,0,1,0,1,2,-1423,15
EUW1_7707916544,1706,2026-01-30 00:34:26.000,16.2.741.3171,RED,Master,37,28,6,5,1,0,2,1,3,0,1,0,0,1,-1107,206
EUW1_7707916680,1964,2026-01-30 00:36:03.000,16.2.741.3171,BLUE,Master,30,26,4,8,0,2,4,0,2,1,1,0,1,0,3702,164
EUW1_7707917684,1615,2026-01-30 00:37:22.000,16.2.741.3171,BLUE,Master,26,23,5,8,1,2,2,2,3,0,0,0,1,0,7481,115
EUW1_7707917805,2230,2026-01-30 00:38:35.000,16.2.741.3171,BLUE,Master,36,26,3,8,0,2,3,2,3,0,1,0,1,0,11636,130
EUW1_7707917960,1598,2026-01-30 00:41:01.000,16.2.741.3171,BLUE,Master,36,36,4,2,0,0,1,2,3,0,0,1,1,0,735,98
EUW1_7707919117,1816,2026-01-30 00:42:59.000,16.2.741.3171,RED,Master,37,37,10,6,3,0,2,2,3,0,1,0,0,1,9293,16
EUW1_7707919230,1645,2026-01-30 00:44:15.000,16.2.741.3171,RED,Grandmaster,22,43,6,2,0,0,2,0,0,3,0,0,0,1,9481,145
EUW1_7707919271,911,2026-01-30 00:45:12.000,16.2.741.3171,BLUE,Diamond,24,9,0,3,0,0,2,0,3,0,0,0,0,0,8937,11
EUW1_7707919660,1551,2026-01-30 00:37:41.000,16.2.741.3171,BLUE,Diamond,36,25,3,8,0,1,2,2,0,3,1,0,1,0,8843,51
EUW1_7707919854,1625,2026-01-30 00:39:45.000,16.2.741.3171,RED,Master,17,24,5,4,0,0,0,3,3,0,1,0,0,1,5276,125
EUW1_7707920248,1897,2026-01-30 00:45:34.000,16.2.741.3171,BLUE,Challenger,31,19,5,6,0,0,4,1,1,2,1,0,2,0,5380,97
EUW1_7707920631,1405,2026-01-30 00:38:19.000,16.2.741.3171,BLUE,Diamond,17,13,0,3,0,0,1,0,3,0,1,0,0,0,5571,205
EUW1_7707920725,1136,2026-01-30 00:39:09.000,16.2.741.3171,BLUE,Grandmaster,18,4,0,2,0,0,0,2,3,0,0,0,0,0,9580,236
EUW1_7707920823,1039,2026-01-30 00:40:13.000,16.2.741.3171,RED,Master,15,8,1,0,0,0,0,2,3,0,0,0,0,0,-1636,139
EUW1_7707920916,1980,2026-01-30 00:41:20.000,16.2.741.3171,RED,Gold,26,34,5,5,0,0,2,3,3,0,0,1,0,0,6491,180
EUW1_7707921493,1365,2026-01-30 00:37:44.000,16.2.741.3171,BLUE,Master,19,18,1,5,0,0,2,1,3,0,0,0,0,0,5511,165
EUW1_7707921872,1191,2026-01-30 00:42:35.000,16.2.741.3171,BLUE,Master,23,10,0,11,0,3,3,0,3,0,1,0,0,0,16371,0
EUW1_7707922041,411,2026-01-30 00:44:27.000,16.2.741.3171,BLUE,Master,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1627,111
EUW1_7707922050,1530,2026-01-30 00:44:49.000,16.2.741.3171,RED,Master,16,38,9,3,1,0,0,3,3,0,0,1,0,1,14946,30
EUW1_7707922550,1616,2026-01-30 00:41:17.000,16.2.741.3171,BLUE,Master,26,23,3,5,0,0,3,1,0,3,0,1,1,0,6902,116
EUW1_7707923066,1767,2026-01-30 00:47:27.000,16.2.741.3171,BLUE,Master,36,26,2,10,0,2,1,3,3,0,0,1,1,0,10270,0
EUW1_7707923723,1225,2026-01-30 00:43:35.000,16.2.741.3171,RED,Master,14,20,3,1,0,0,0,3,3,0,0,1,0,0,3622,25
EUW1_7707923910,1402,2026-01-30 00:45:21.000,16.2.741.3171,RED,Diamond,14,24,2,4,0,0,0,3,3,0,1,0,0,0,6077,202
EUW1_7707924052,1551,2026-01-30 00:47:40.000,16.2.741.3171,BLUE,Diamond,45,24,4,4,0,0,2,2,2,1,0,1,1,0,9380,51
EUW1_7707924248,1614,2026-01-30 00:49:45.000,16.2.741.3171,RED,Emerald,21,37,6,3,1,0,0,4,2,1,1,0,0,1,10096,114
EUW1_7707924470,1836,2026-01-30 00:42:29.000,16.2.741.3171,BLUE,Master,35,26,3,9,0,2,3,1,0,3,1,0,2,0,9239,36
EUW1_7707924615,1689,2026-01-30 00:43:33.000,16.2.741.3171,BLUE,Master,21,15,2,5,0,0,2,2,0,3,1,0,1,0,7094,189
EUW1_7707924884,1556,2026-01-30 00:46:43.000,16.2.741.3171,BLUE,Emerald,31,22,0,11,0,2,2,2,3,0,0,0,0,0,5575,56
EUW1_7707924925,2023,2026-01-30 00:46:55.000,16.2.741.3171,RED,Master,27,31,6,4,0,0,3,2,1,2,0,1,1,0,1889,223
EUW1_7707925214,913,2026-01-30 00:51:41.000,16.2.741.3171,RED,Master,4,19,2,0,0,0,0,2,3,0,0,0,0,0,9844,13
EUW1_7707925561,1588,2026-01-30 00:44:30.000,16.2.741.3171,BLUE,Diamond,38,22,2,8,0,1,4,0,3,0,1,0,0,1,1756,88
EUW1_7707925718,1469,2026-01-30 00:46:05.000,16.2.741.3171,BLUE,Master,29,23,0,11,0,3,3,0,3,0,1,0,1,0,7714,0
EUW1_7707926080,1361,2026-01-30 00:50:47.000,16.2.741.3171,BLUE,Master,31,14,1,8,0,2,3,0,3,0,1,0,0,0,11470,161
EUW1_7707926244,915,2026-01-30 00:52:36.000,16.2.741.3171,BLUE,Master,20,5,0,4,0,0,1,0,3,0,0,0,0,0,9216,15
EUW1_7707926415,1331,2026-01-30 00:55:12.000,16.2.741.3171,RED,Master,6,23,7,1,1,0,0,3,3,0,0,1,0,0,11591,131
EUW1_7707926435,919,2026-01-30 00:55:35.000,16.2.741.3171,BLUE,Diamond,14,10,1,2,0,0,0,1,3,0,0,0,0,0,1692,19
EUW1_7707927410,1972,2026-01-30 00:57:08.000,16.2.741.3171,BLUE,Grandmaster,21,28,6,5,0,0,3,2,3,0,0,1,1,1,305,172
EUW1_7707927790,1358,2026-01-30 00:50:49.000,16.2.741.3171,RED,Gold,11,27,4,3,0,0,1,2,3,0,1,0,0,0,9242,158
EUW1_7707928043,2257,2026-01-30 00:54:20.000,16.2.741.3171,BLUE,Master,38,48,6,5,1,0,1,4,3,0,0,1,1,1,-5614,157
EUW1_7707928274,2187,2026-01-30 00:56:22.000,16.2.741.3171,RED,Challenger,50,42,7,6,0,1,3,3,3,0,1,0,1,1,-1429,87
EUW1_7707928483,915,2026-01-30 00:47:46.000,16.2.741.3171,RED,Diamond,2,19,4,0,0,0,0,2,0,3,0,0,0,0,12258,15
EUW1_7707928865,1299,2026-01-30 00:52:34.000,16.2.741.3171,BLUE,Master,28,16,3,8,0,1,2,0,0,3,1,0,0,0,11000,99
EUW1_7707929599,1451,2026-01-30 00:49:34.000,16.2.741.3171,BLUE,Grandmaster,44,20,1,10,0,2,3,1,3,0,0,1,1,0,15443,0
EUW1_7707929602,1940,2026-01-30 00:48:32.000,16.2.741.3171,RED,Diamond,20,28,7,3,1,0,0,4,0,3,0,1,1,1,3246,140
EUW1_7707929682,2479,2026-01-30 00:50:32.000,16.2.741.3171,BLUE,Challenger,44,58,10,7,5,0,2,4,3,0,1,0,1,2,2740,79
EUW1_7707930132,553,2026-01-30 00:55:45.000,16.2.741.3171,RED,Master,9,8,0,0,0,0,0,1,0,3,0,0,0,0,111,0
EUW1_7707930198,1268,2026-01-30 00:57:07.000,16.2.741.3171,BLUE,Master,24,16,1,4,0,0,2,1,3,0,1,0,0,0,2162,68
EUW1_7707930607,1844,2026-01-30 00:50:52.000,16.2.741.3171,BLUE,Master,38,19,3,6,0,0,4,1,0,3,1,0,0,1,6180,44
EUW1_7707931168,2044,2026-01-30 00:57:35.000,16.2.741.3171,RED,Master,33,42,9,9,1,2,3,2,1,2,0,1,2,1,5307,0
EUW1_7707931544,1424,2026-01-30 00:50:24.000,16.2.741.3171,BLUE,Master,19,19,0,2,0,0,0,3,3,0,1,0,0,0,1920,224
EUW1_7707931887,1894,2026-01-30 00:53:57.000,16.2.741.3171,RED,Diamond,21,34,7,3,2,0,2,1,3,0,1,0,1,0,9268,94
EUW1_7707932217,1666,2026-01-30 00:59:14.000,16.2.741.3171,BLUE,Master,39,23,3,5,0,0,3,0,3,0,1,0,1,0,6133,166
EUW1_7707932416,2375,2026-01-30 01:01:30.000,16.2.741.3171,RED,Diamond,41,39,11,7,4,1,3,3,1,2,1,0,0,2,5983,0
EUW1_7707932422,1903,2026-01-30 01:01:27.000,16.2.741.3171,BLUE,Master,38,19,3,6,0,0,2,1,3,0,1,0,2,0,7740,103
EUW1_7707932480,1664,2026-01-30 00:52:47.000,16.2.741.3171,RED,Master,23,33,6,1,0,0,1,2,0,3,0,1,0,0,8468,164
EUW1_7707933091,1440,2026-01-30 01:00:49.000,16.2.741.3171,RED,Master,14,33,6,2,0,0,1,2,3,0,0,0,0,0,8750,240
